time,latitude,longitude,sst
UTC,degrees_north,degrees_east,
1981-09-01T00:00:00Z,8.125,72.375,27.859999
1981-09-01T00:00:00Z,8.125,72.625,27.88
1981-09-01T00:00:00Z,8.125,72.875,27.859999
1981-09-01T00:00:00Z,8.125,73.125,27.72
1981-09-01T00:00:00Z,8.125,73.375,27.43
1981-09-01T00:00:00Z,8.125,73.625,27.38
1981-09-01T00:00:00Z,8.125,73.875,27.5
1981-09-01T00:00:00Z,8.125,74.125,27.449999
1981-09-01T00:00:00Z,8.125,74.375,27.48
1981-09-01T00:00:00Z,8.125,74.625,27.619999
1981-09-01T00:00:00Z,8.125,74.875,27.73
1981-09-01T00:00:00Z,8.125,75.125,27.88
1981-09-01T00:00:00Z,8.125,75.375,27.89
1981-09-01T00:00:00Z,8.125,75.625,27.789999
1981-09-01T00:00:00Z,8.125,75.875,27.58
1981-09-01T00:00:00Z,8.125,76.125,27.22
1981-09-01T00:00:00Z,8.125,76.375,26.72
1981-09-01T00:00:00Z,8.125,76.625,26.33
1981-09-01T00:00:00Z,8.125,76.875,25.939999
1981-09-01T00:00:00Z,8.125,77.125,25.43
1981-09-01T00:00:00Z,8.125,77.375,25.76
1981-09-01T00:00:00Z,8.125,77.625,26.49
1981-09-01T00:00:00Z,8.125,77.875,27.39
1981-09-01T00:00:00Z,8.125,78.125,28.31
1981-09-01T00:00:00Z,8.375,72.125,27.64
1981-09-01T00:00:00Z,8.375,72.375,28.09
1981-09-01T00:00:00Z,8.375,72.625,27.96
1981-09-01T00:00:00Z,8.375,72.875,27.96
1981-09-01T00:00:00Z,8.375,73.125,27.74
1981-09-01T00:00:00Z,8.375,73.375,27.47
1981-09-01T00:00:00Z,8.375,73.625,27.46
1981-09-01T00:00:00Z,8.375,73.875,27.56
1981-09-01T00:00:00Z,8.375,74.125,27.58
1981-09-01T00:00:00Z,8.375,74.375,27.66
1981-09-01T00:00:00Z,8.375,74.625,27.75
1981-09-01T00:00:00Z,8.375,74.875,27.92
1981-09-01T00:00:00Z,8.375,75.125,28.05
1981-09-01T00:00:00Z,8.375,75.375,28.119999
1981-09-01T00:00:00Z,8.375,75.625,28.119999
1981-09-01T00:00:00Z,8.375,75.875,27.93
1981-09-01T00:00:00Z,8.375,76.125,27.599998
1981-09-01T00:00:00Z,8.375,76.375,27.099998
1981-09-01T00:00:00Z,8.375,76.625,26.59
1981-09-01T00:00:00Z,8.375,76.875,26.34
1981-09-01T00:00:00Z,8.375,77.125,NaN
1981-09-01T00:00:00Z,8.375,77.375,NaN
1981-09-01T00:00:00Z,8.375,77.625,NaN
1981-09-01T00:00:00Z,8.375,77.875,NaN
1981-09-01T00:00:00Z,8.375,78.125,28.89
1981-09-01T00:00:00Z,8.625,72.125,27.689999
1981-09-01T00:00:00Z,8.625,72.375,28.06
1981-09-01T00:00:00Z,8.625,72.625,27.93
1981-09-01T00:00:00Z,8.625,72.875,27.939999
1981-09-01T00:00:00Z,8.625,73.125,27.769999
1981-09-01T00:00:00Z,8.625,73.375,27.65
1981-09-01T00:00:00Z,8.625,73.625,27.66
1981-09-01T00:00:00Z,8.625,73.875,27.74
1981-09-01T00:00:00Z,8.625,74.125,27.74
1981-09-01T00:00:00Z,8.625,74.375,27.74
1981-09-01T00:00:00Z,8.625,74.625,27.83
1981-09-01T00:00:00Z,8.625,74.875,27.93
1981-09-01T00:00:00Z,8.625,75.125,28.039999
1981-09-01T00:00:00Z,8.625,75.375,28.029999
1981-09-01T00:00:00Z,8.625,75.625,27.92
1981-09-01T00:00:00Z,8.625,75.875,27.8
1981-09-01T00:00:00Z,8.625,76.125,27.58
1981-09-01T00:00:00Z,8.625,76.375,27.15
1981-09-01T00:00:00Z,8.625,76.625,26.599998
1981-09-01T00:00:00Z,8.625,76.875,26.199999
