time,LEV,latitude,longitude,sst
UTC,millibar,degrees_north,degrees_east,
2020-01-01T00:00:00Z,0.0,7.875,75.375,29.019999
2020-01-01T00:00:00Z,0.0,7.875,75.625,28.92
2020-01-01T00:00:00Z,0.0,7.875,75.875,28.82
2020-01-01T00:00:00Z,0.0,7.875,76.125,28.689999
2020-01-01T00:00:00Z,0.0,7.875,76.375,28.58
2020-01-01T00:00:00Z,0.0,7.875,76.625,28.519999
2020-01-01T00:00:00Z,0.0,7.875,76.875,28.5
2020-01-01T00:00:00Z,0.0,7.875,77.125,28.32
2020-01-01T00:00:00Z,0.0,7.875,77.375,28.099998
2020-01-01T00:00:00Z,0.0,7.875,77.625,27.99
2020-01-01T00:00:00Z,0.0,7.875,77.875,27.9
2020-01-01T00:00:00Z,0.0,7.875,78.125,27.88
2020-01-01T00:00:00Z,0.0,8.125,72.125,28.97
2020-01-01T00:00:00Z,0.0,8.125,72.375,29.0
2020-01-01T00:00:00Z,0.0,8.125,72.625,29.0
2020-01-01T00:00:00Z,0.0,8.125,72.875,29.019999
2020-01-01T00:00:00Z,0.0,8.125,73.125,29.01
2020-01-01T00:00:00Z,0.0,8.125,73.375,29.039999
2020-01-01T00:00:00Z,0.0,8.125,73.625,29.039999
2020-01-01T00:00:00Z,0.0,8.125,73.875,29.019999
2020-01-01T00:00:00Z,0.0,8.125,74.125,28.97
2020-01-01T00:00:00Z,0.0,8.125,74.375,28.96
2020-01-01T00:00:00Z,0.0,8.125,74.625,29.05
2020-01-01T00:00:00Z,0.0,8.125,74.875,29.179998
2020-01-01T00:00:00Z,0.0,8.125,75.125,29.21
2020-01-01T00:00:00Z,0.0,8.125,75.375,29.16
2020-01-01T00:00:00Z,0.0,8.125,75.625,29.029999
2020-01-01T00:00:00Z,0.0,8.125,75.875,28.91
2020-01-01T00:00:00Z,0.0,8.125,76.125,28.75
2020-01-01T00:00:00Z,0.0,8.125,76.375,28.609999
2020-01-01T00:00:00Z,0.0,8.125,76.625,28.519999
2020-01-01T00:00:00Z,0.0,8.125,76.875,28.55
2020-01-01T00:00:00Z,0.0,8.125,77.125,28.3
2020-01-01T00:00:00Z,0.0,8.125,77.375,28.07
2020-01-01T00:00:00Z,0.0,8.125,77.625,27.97
2020-01-01T00:00:00Z,0.0,8.125,77.875,27.92
2020-01-01T00:00:00Z,0.0,8.125,78.125,27.939999
2020-01-01T00:00:00Z,0.0,8.375,72.125,29.019999
2020-01-01T00:00:00Z,0.0,8.375,72.375,29.109999
2020-01-01T00:00:00Z,0.0,8.375,72.625,29.13
2020-01-01T00:00:00Z,0.0,8.375,72.875,29.119999
2020-01-01T00:00:00Z,0.0,8.375,73.125,29.14
2020-01-01T00:00:00Z,0.0,8.375,73.375,29.119999
2020-01-01T00:00:00Z,0.0,8.375,73.625,29.07
2020-01-01T00:00:00Z,0.0,8.375,73.875,28.98
2020-01-01T00:00:00Z,0.0,8.375,74.125,28.98
2020-01-01T00:00:00Z,0.0,8.375,74.375,29.019999
2020-01-01T00:00:00Z,0.0,8.375,74.625,29.119999
2020-01-01T00:00:00Z,0.0,8.375,74.875,29.21
2020-01-01T00:00:00Z,0.0,8.375,75.125,29.31
2020-01-01T00:00:00Z,0.0,8.375,75.375,29.25
2020-01-01T00:00:00Z,0.0,8.375,75.625,29.09
2020-01-01T00:00:00Z,0.0,8.375,75.875,28.98
2020-01-01T00:00:00Z,0.0,8.375,76.125,28.84
2020-01-01T00:00:00Z,0.0,8.375,76.375,28.71
2020-01-01T00:00:00Z,0.0,8.375,76.625,28.619999
2020-01-01T00:00:00Z,0.0,8.375,76.875,28.72
2020-01-01T00:00:00Z,0.0,8.375,77.125,NaN
2020-01-01T00:00:00Z,0.0,8.375,77.375,NaN
2020-01-01T00:00:00Z,0.0,8.375,77.625,NaN
2020-01-01T00:00:00Z,0.0,8.375,77.875,NaN
2020-01-01T00:00:00Z,0.0,8.375,78.125,27.99
2020-01-01T00:00:00Z,0.0,8.625,72.125,29.08
2020-01-01T00:00:00Z,0.0,8.625,72.375,29.14
2020-01-01T00:00:00Z,0.0,8.625,72.625,29.21
2020-01-01T00:00:00Z,0.0,8.625,72.875,29.26
2020-01-01T00:00:00Z,0.0,8.625,73.125,29.26
2020-01-01T00:00:00Z,0.0,8.625,73.375,29.24
2020-01-01T00:00:00Z,0.0,8.625,73.625,29.15
2020-01-01T00:00:00Z,0.0,8.625,73.875,29.09
2020-01-01T00:00:00Z,0.0,8.625,74.125,29.07
2020-01-01T00:00:00Z,0.0,8.625,74.375,29.16
2020-01-01T00:00:00Z,0.0,8.625,74.625,29.26
2020-01-01T00:00:00Z,0.0,8.625,74.875,29.369999
2020-01-01T00:00:00Z,0.0,8.625,75.125,29.369999
2020-01-01T00:00:00Z,0.0,8.625,75.375,29.31
2020-01-01T00:00:00Z,0.0,8.625,75.625,29.13
2020-01-01T00:00:00Z,0.0,8.625,75.875,28.949999
2020-01-01T00:00:00Z,0.0,8.625,76.125,28.83
